quad1,quad2,dist
L3,PSG8,3546.525898
L3A,PSG8,3546.525898
PSG13,Y7,3548.887333
I7,R1,3552.414097
PSG12,T9,3553.103678
N3A,R1,3554.586309
B4,PBR2,3555.183803
N3,R1,3556.72101
AR5,PBR1,3563.092058
AR6,PBR1,3564.377325
L4,R4,3568.395692
K1,L4,3570.514863
G5,PBR1,3583.441749
L3,PSG10,3584.242787
L3A,PSG10,3584.242787
G6,I7,3585.765206
H1,J1,3587.272961
K4,T10,3588.154085
L2,R3,3588.883248
L3,PSG11,3589.3644
L3A,PSG11,3589.3644
PSG14,T10,3594.420453
K4,T8,3596.556249
L3,PSG9,3600.110322
L3A,PSG9,3600.110322
G5,MG2,3600.453079
G1,I4,3601.210321
G6,I2,3604.051383
AR4,PBR2,3610.715214
J9,N3A,3610.72341
G3,I6,3611.566907
J9,N3,3613.397331
J8,R1,3614.030061
L3,PSG13,3614.659652
L3A,PSG13,3614.659652
H1,J12,3621.850319
J9,K2,3623.219158
K3,L3,3624.650983
K3,L3A,3624.650983
B2,PBR2,3625.884494
MG2,T9,3630.330654
L3,PSG12,3631.683456
L3A,PSG12,3631.683456
B3,PBR1,3633.334305
G2,K4,3651.220458
B4,PBR1,3652.776957
J8,J9,3655.964926
G6,I6,3658.479488
V1,V6,3660.650586
MG1,T9,3668.028256
MG1,PSG14,3671.535283
MG1,T8,3681.893151
A5,AR6,3682.94498
K2,R1,3687.82036
A5,AR5,3691.544326
G5,PBR2,3702.231189
I2,T8,3702.478516
I2,J12,3702.690969
K4,L2,3707.70521
H1,U4,3712.045455
L1,T9,3713.013051
G4,T11,3715.630142
I3,Y7,3717.034006
G5,MG3,3718.477594
G5,MG6,3720.920709
J22,N3A,3724.908633
J22,N3,3728.193605
I2,J1,3733.911366
I2,PSG14,3738.013522
AR4,PBR1,3746.164904
J22,J8,3751.175999
B2,PBR1,3754.330749
G4,I1,3754.572795
A5,AR4,3756.521498
MG6,T9,3760.376213
I5,L3,3761.865937
I5,L3A,3761.865937
I4,U2,3765.768982
I3,U1,3767.078398
G4,MG2,3771.352122
B5,PBR2,3771.692091
MG2,T8,3776.883293
T11,T9,3777.931198
G4,PSG13,3783.378729
G4,PBR1,3797.380176
L3,R4,3800.938367
L3A,R4,3800.938367
I2,PSG1,3801.064509
I5,U3,3801.262328
K2,L4,3807.047973
I2,PSG2,3815.893063
K2,MG1,3821.026505
G4,PSG1,3823.112864
H2,U3,3823.24996
I3,Y3,3825.557766
