year,month,soi
1983,2,-3.46
1983,3,-3.25
1983,4,-1.41
1983,5,0.79
1983,6,-0.58
1983,7,-0.7
1983,8,-0.37
1983,9,0.91
1983,10,0.34
1983,11,-0.12
1983,12,-0.17
1984,1,-0.03
1984,2,0.43
1984,3,-0.85
1984,4,0.39
1984,5,-0.03
1984,6,-1.22
1984,7,0.12
1984,8,0.1
1984,9,0.17
1984,10,-0.61
1984,11,0.12
1984,12,-0.24
1985,1,-0.55
1985,2,0.79
1985,3,0.2
1985,4,1.42
1985,5,-0.15
1985,6,-1.39
1985,7,-0.2
1985,8,0.66
1985,9,0
1985,10,-0.76
1985,11,-0.35
1985,12,0.12
1986,1,0.82
1986,2,-1.28
1986,3,-0.09
1986,4,0.11
1986,5,-0.63
1986,6,1.01
1986,7,0.24
1986,8,-0.85
1986,9,-0.53
1986,10,0.54
1986,11,-1.57
1986,12,-1.64
1987,1,-0.75
1987,2,-1.41
1987,3,-2.03
1987,4,-2.69
1987,5,-2.12
1987,6,-2.69
1987,7,-1.82
1987,8,-1.67
1987,9,-1.13
1987,10,-0.69
1987,11,-0.07
1987,12,-0.66
1988,1,-0.31
1988,2,-0.65
1988,3,0.13
1988,4,-0.03
1988,5,1.09
1988,6,-0.2
1988,7,1.17
1988,8,1.36
